water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""",SO4
"""р.Вычегда - г.Коряжма""","""3Б Очень загрязненная""",БПК5
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",БПК5
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",NO2
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",NH4
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",Хлоpиды
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",NO2
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",Кислоpод
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",БПК5
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",БПК5
"""р.Индигирка - р.п.Чокурдах""","""3А Загрязненная""",NO2
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Нефтепpод.
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""",NO2
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",SO4
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",NO3
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",NH4
"""р.Енисей - г.Игарка""","""3Б Очень загрязненная""",SO4
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""",NO3
"""Р.НЕВА - Д.НОВОСАРАТОВКА""","""3А Загрязненная""","""Железо общ."""
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""",NO2
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""",SO4
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Цинк
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",Никель
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",NO2
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",SO4
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",NH4
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",Нефтепpод.
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",Медь
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",NO3
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",Маpганец
"""р.Селенга - с.Кабанск""","""3А Загрязненная""",Кислоpод
"""р.Селенга - с.Кабанск""","""3А Загрязненная""","""Железо общ."""
"""р.Енисей - г.Кызыл""","""3Б Очень загрязненная""",Хлоpиды
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",Кислоpод
"""Р.КУБАНЬ, СТ.ЛАДОЖСКАЯ 0,2КМ НИЖЕ СТ.ЛАДОЖСКАЯ""","""3Б Очень загрязненная""",NO2
"""р.Терек - г.Владикавказ""","""3Б Очень загрязненная""",Медь
"""р.Белая - г.Бирск""","""3Б Очень загрязненная""",SO4
"""р.Дон - ст-ца Раздорская""","""4А Грязная""","""Фенолы летуч."""
"""р.Дон - Цимлянская ГЭС(нижний бьеф)""","""3А Загрязненная""",Хлоpиды
"""Р.КУБАНЬ, Г.ТЕМРЮК,НИЖЕ ГОРОДА""","""3А Загрязненная""",Медь
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Железо общ."""
"""Р.ОБЬ, Г.САЛЕХАРД, 4КМ К З О ГОРОДА, 7 КМ ВЫШЕ ГИДРОПОСТА""","""4В Очень грязная""",NH4
"""Р.КУБАНЬ, Г.ТЕМРЮК,НИЖЕ ГОРОДА""","""3А Загрязненная""",Цинк
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",БПК5
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Медь
"""Р.ВОЛГА - ИВАНЬКОВСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO2
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",NH4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",БПК5
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",Медь
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Медь
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",Цинк
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",Хлоpиды
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Никель
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",NO2
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",SO4
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""",NO2
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""",NH4
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Кислоpод
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Нефтепpод.
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Никель
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",SO4
"""р.Мезень - д.Малонисогорская""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Цинк
"""р.Амур - г.Хабаровск(г.ст.)""","""3А Загрязненная""",Никель
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""","""Фенолы летуч."""
"""р.Северский Донец - г.Белая Калитва""","""4А Грязная""",Цинк
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",Цинк
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",Цинк
"""р.Лаба - х.Догужиев""","""3А Загрязненная""","""Железо общ."""
"""Р.ЛУГА - Г.КИНГИСЕПП""","""3А Загрязненная""",SO4
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NH4
"""р.Лена - г.Якутск""","""3А Загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК 10,5 НИЖЕ Г.СТЕРЛИТАМАК""","""4А Грязная""",SO4
"""р.Яна,дельта, протока Главное русло - р.п.Нижнеянск""","""4А Грязная""",NO2
"""КАМСКОЕ ВДХР.Г.СОЛИКАМСК 0,3КМ ВЫШЕ БОРОВСКОГО ЗАЛИВА""","""3Б Очень загрязненная""",Цинк
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Хлоpиды
"""р.Ока - г.Муром""","""4А Грязная""",Медь
"""Р.ДОН - С.НОВАЯ КАЛИТВА""","""3А Загрязненная""",NH4
"""р.Тауй - с.Талон""","""4А Грязная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",NO2
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",Хлоpиды
"""р.Тауй - с.Талон""","""4А Грязная""",Свинец
"""р.Раздольная - г.Уссурийск""","""4А Грязная""",Медь
"""Р.ЛУГА - Г.КИНГИСЕПП""","""3А Загрязненная""",NO2
"""р.Лаба - х.Догужиев""","""3А Загрязненная""",SO4
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Кислоpод
"""р.Хопер - г.Новохоперск""","""3А Загрязненная""",NO2
"""р.Енисей - г.Кызыл""","""3Б Очень загрязненная""",Кислоpод
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",SO4
"""р.Спасовка - г.Спасск-Дальний""","""4А Грязная""",NO2
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",NO2
"""р.Сухона - г.Великий Устюг""","""4А Грязная""",NH4
"""Р.УСА,С.УСТЬ—УСА,0,5КМ ВЫШЕ СЕЛА""","""4А Грязная""",NH4
"""р.Тауй - с.Талон""","""4А Грязная""",Медь
"""р.Ока - г.Муром""","""4А Грязная""",NO2
"""р.КАМА - пгт ГАЙНЫ""","""3Б Очень загрязненная""",БПК5
"""Р.ЛУГА - Г.КИНГИСЕПП""","""3А Загрязненная""","""Фенолы летуч."""
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Никель
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",NO2
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""","""Фенолы летуч."""
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Маpганец
"""ВДХР БРАТСКОЕ - Г.УСОЛЬЕ-СИБИРСКОЕ 2""","""1 Условно чистая""",Никель
"""р.Нижняя Тунгуска - факт.Большой Порог""","""3А Загрязненная""",Цинк
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",Кислоpод
"""р.Лена - с.Кюсюр""","""3Б Очень загрязненная""",Кислоpод
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",Хлоpиды
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",БПК5
"""Р.ЕНИСЕЙ - КРАСНОЯРСКАЯ ГЭС""","""3А Загрязненная""",NO3
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""",NO3
"""БАССЕЙН ОЗ.БАЙКАЛ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",Цинк
"""р.Иртыш - г.Омск""","""3А Загрязненная""",Нефтепpод.
"""р.Тауй - с.Талон""","""4А Грязная""",Кислоpод
"""р.Камчатка - с.Пущино""","""2 Слабо загрязненная""",NO2
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""ВДХР АРТЕМОВСКОЕ - С.МНОГОУДОБНОЕ""","""3А Загрязненная""","""Фенолы летуч."""
"""р.Урал - г.Оренбург""","""3А Загрязненная""",Медь
"""р.Поной - с.Краснощелье""","""3А Загрязненная""",Маpганец
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""",Медь
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",NO3
"""Р.КЛЯЗЬМА, Г.ОРЕХОВО—ЗУЕВО, НИЖЕ ГОРОДА""","""4Б Грязная""","""Фенолы летуч."""
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ИРТЫШ, Г.ОМСК 7КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",NO3
"""р.Ангара - с.Богучаны""","""3Б Очень загрязненная""",Хлоpиды
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",БПК5
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Никель
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",NO3
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",Цинк
"""ИРКУТСКОЕ ВДХР (Р.АНГАРА), ИСТОК АНГАРЫ""","""1 Условно чистая""",NO2
"""р.Амур - г.Комсомольск""","""3А Загрязненная, 3Б Очень загрязненная""",Кислоpод
"""р.Вычегда - г.Коряжма""","""3Б Очень загрязненная""",NO2
"""р.Авача - г.Елизово""","""3А Загрязненная""",NO2
"""р.Спасовка - г.Спасск-Дальний""","""4А Грязная""",Нефтепpод.
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",БПК5
"""р.Амур - г.Комсомольск""","""3А Загрязненная, 3Б Очень загрязненная""",Маpганец
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NO2
"""Р.СЕВЕРНАЯ ДВИНА,С.УСТЬ—ПИНЕГ 0,7КМ НИЖЕ УСТЬЯ Р.ПИНЕГИ""","""3Б Очень загрязненная""",БПК5
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",NO2
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",NO2
"""р.Енисей - г.Кызыл""","""3Б Очень загрязненная""",NO2
"""р.Лена - с.Табага""","""3Б Очень загрязненная""",NH4
"""БАССЕЙН КОЛЫМЫ""","""3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная""",Цинк
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4А Грязная""",Цинк
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4Б Грязная""",Маpганец
"""Р.ПОРОНАЙ, Г.ПОРОНАЙСК В ЦЕ Г.ПОРОНАЙСК""","""4В Очень грязная""",Кислоpод
"""р.Индигирка - р.п.Чокурдах""","""3Б Очень загрязненная""",SO4
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""","""Окисл. Бихp."""
